 TIME   Etot      ELFEN     ELEN       EKIN      mag Nel
   35.90   -19.7589   -24.9805   -24.8997     5.2216   .960    7
   36.00   -19.7589   -24.9804   -24.8996     5.2215   .962    9
   36.10   -19.7588   -24.9802   -24.8994     5.2215   .962    4
   36.20   -19.7587   -24.9802   -24.8994     5.2214   .964    4
   36.30   -19.7587   -24.9801   -24.8993     5.2214   .965    4
   36.40   -19.7587   -24.9801   -24.8992     5.2213   .966    7
   36.50   -19.7587   -24.9800   -24.8992     5.2213   .968    3
   36.60   -19.7585   -24.9798   -24.8990     5.2213   .968    4
   36.70   -19.7586   -24.9799   -24.8991     5.2213   .969    7
   36.80   -19.7586   -24.9799   -24.8991     5.2213   .970    3
   36.90   -19.7585   -24.9798   -24.8989     5.2213   .971    3
   37.00   -19.7586   -24.9799   -24.8991     5.2213   .972   11
   37.10   -19.7586   -24.9799   -24.8991     5.2213   .973    6
   37.20   -19.7586   -24.9799   -24.8991     5.2213   .974    8
   37.30   -19.7585   -24.9798   -24.8990     5.2213   .975    3
   37.40   -19.7586   -24.9799   -24.8991     5.2213   .976    9
   37.50   -19.7586   -24.9799   -24.8991     5.2214   .976    3
   37.60   -19.7586   -24.9800   -24.8992     5.2214   .977    7
   37.70   -19.7586   -24.9800   -24.8992     5.2215   .978    7
   37.80   -19.7585   -24.9801   -24.8992     5.2215   .978    6
   37.90   -19.7585   -24.9801   -24.8993     5.2216   .979    7
   38.00   -19.7585   -24.9802   -24.8994     5.2216   .980    7
   38.10   -19.7585   -24.9802   -24.8994     5.2217   .981    7
   38.20   -19.7585   -24.9803   -24.8995     5.2218   .981    7
   38.30   -19.7585   -24.9804   -24.8996     5.2219   .982    8
   38.40   -19.7585   -24.9804   -24.8996     5.2219   .982    8
   38.50   -19.7585   -24.9805   -24.8997     5.2220   .983    7
   38.60   -19.7584   -24.9805   -24.8997     5.2221   .984    7
   38.70   -19.7584   -24.9807   -24.8999     5.2222   .984   10
   38.80   -19.7584   -24.9807   -24.8999     5.2223   .984    3
   38.90   -19.7584   -24.9809   -24.9001     5.2224   .985    7
   39.00   -19.7570   -24.9795   -24.8988     5.2226   .987   27
   39.10   -19.7584   -24.9811   -24.9003     5.2227   .987   12
   39.20   -19.7581   -24.9809   -24.9001     5.2228   .985    3
   39.30   -19.7583   -24.9813   -24.9005     5.2230   .987    7
   39.40   -19.7583   -24.9814   -24.9006     5.2231   .988   18
   39.50   -19.7583   -24.9815   -24.9007     5.2232   .988    7
   39.60   -19.7582   -24.9816   -24.9008     5.2234   .988    8
   39.70   -19.7581   -24.9816   -24.9008     5.2235   .989    7
   39.80   -19.7575   -24.9812   -24.9004     5.2236   .990   25
   39.90   -19.7583   -24.9820   -24.9012     5.2238   .989   17
   40.00   -19.7583   -24.9822   -24.9014     5.2239   .990    7
   40.10   -19.7583   -24.9823   -24.9015     5.2240   .990   11
   40.20   -19.7583   -24.9824   -24.9016     5.2242   .990   11
   40.30   -19.7582   -24.9825   -24.9017     5.2243   .991    7
   40.40   -19.7581   -24.9825   -24.9017     5.2244   .992    7
   40.50   -19.7582   -24.9828   -24.9020     5.2246   .992   11
   40.60   -19.7582   -24.9829   -24.9021     5.2247   .992    8
   40.70   -19.7581   -24.9830   -24.9021     5.2248   .993    8
   40.80   -19.7581   -24.9831   -24.9022     5.2250   .992    8
   40.90   -19.7570   -24.9821   -24.9013     5.2251   .992    3
   41.00   -19.7582   -24.9834   -24.9026     5.2253   .993    9
   41.10   -19.7582   -24.9836   -24.9028     5.2254   .993   12
   41.20   -19.7582   -24.9837   -24.9029     5.2255   .993    9
   41.30   -19.7581   -24.9838   -24.9030     5.2257   .994    8
   41.40   -19.7581   -24.9839   -24.9031     5.2258   .994    7
   41.50   -19.7581   -24.9840   -24.9032     5.2259   .995    7
   41.60   -19.7582   -24.9842   -24.9034     5.2261   .994    9
   41.70   -19.7582   -24.9843   -24.9035     5.2262   .995    9
   41.80   -19.7581   -24.9844   -24.9036     5.2263   .995    8
