  version number of analysis code =  14
 timestep dt in seconds =   .1000000E-15
 # emin for stop =   6
 decrit =   .1500000E+00

 mass metal atom in a.m.u. =   196.9660

  EOR found on XDATCAR at ntimes = 1203
  ntimesa = 1203
  detb = 30.6261662733299254
 Z layer 1 =  20.3695

 Z layer 2 =  17.8504

 Z layer 3 =  15.4760

 Z layer 4 =  13.0000

 Z12 =   2.5191

 Z23 =   2.3744

 Z34 =   2.4760

 temp, average ekin =   249.910535      .387655
 
 nt   temp      ekin       ekinh      zH         xH         yH        z1        z12
  148   130.8929    .203038   6.63576   1.52092   6.56705   4.38191  20.31957   2.44801
  149   130.9859    .203182   6.67088   1.48613   6.57305   4.38714  20.31960   2.44800
  150   131.0363    .203260   6.70058   1.45124   6.57901   4.39240  20.31962   2.44799
  151   131.0780    .203325   6.72411   1.41628   6.58495   4.39768  20.31965   2.44798
  152   131.1465    .203431   6.74060   1.38127   6.59088   4.40297  20.31967   2.44796
  153   131.2075    .203526   6.74916   1.34622   6.59680   4.40827  20.31970   2.44795
  154   131.2065    .203524   6.74884   1.31115   6.60272   4.41357  20.31973   2.44794
  155   131.2022    .203518   6.73856   1.27611   6.60867   4.41884  20.31975   2.44793
  156   131.2196    .203545   6.71742   1.24110   6.61464   4.42408  20.31978   2.44792
  157   131.1970    .203510   6.68451   1.20617   6.62067   4.42927  20.31980   2.44790
  158   131.1477    .203433   6.63897   1.17135   6.62677   4.43438  20.31983   2.44789
  159   131.0834    .203333   6.58010   1.13667   6.63297   4.43940  20.31985   2.44788
  160   131.0046    .203211   6.50732   1.10218   6.63930   4.44429  20.31988   2.44786
  161   130.8912    .203035   6.42049   1.06792   6.64579   4.44904  20.31990   2.44785
  162   130.7572    .202827   6.31973   1.03394   6.65248   4.45359  20.31993   2.44784
  163   130.5970    .202579   6.20560   1.00029   6.65942   4.45793  20.31995   2.44782
  164   130.4187    .202302   6.07940    .96701   6.66665   4.46200  20.31997   2.44781
  165   130.2462    .202035   5.94291    .93415   6.67423   4.46577  20.32000   2.44779
  166   130.0455    .201723   5.79844    .90176   6.68221   4.46918  20.32002   2.44778
  167   129.8266    .201384   5.64916    .86989   6.69065   4.47220  20.32004   2.44776
  168   129.6136    .201053   5.49896    .83858   6.69962   4.47478  20.32006   2.44775
  169   129.4646    .200822   5.35214    .80787   6.70919   4.47687  20.32008   2.44773
  170   129.3042    .200574   5.21330    .77780   6.71940   4.47842  20.32010   2.44771
  171   129.1447    .200326   5.08731    .74839   6.73034   4.47939  20.32012   2.44769
  172   129.0505    .200180   4.97885    .71966   6.74206   4.47974  20.32014   2.44767
  173   129.0316    .200151   4.89212    .69162   6.75462   4.47944  20.32015   2.44765
  174   129.0568    .200190   4.83053    .66426   6.76805   4.47846  20.32017   2.44763
  175   129.1353    .200312   4.79652    .63758   6.78240   4.47678  20.32019   2.44761
  176   129.2980    .200564   4.79125    .61156   6.79770   4.47440  20.32020   2.44758
  177   129.5024    .200881   4.81463    .58617   6.81396   4.47130  20.32021   2.44756
  178   129.7944    .201334   4.86524    .56138   6.83118   4.46749  20.32023   2.44753
  179   130.1335    .201860   4.94046    .53714   6.84936   4.46301  20.32024   2.44751
  180   130.4750    .202390   5.03677    .51342   6.86847   4.45785  20.32025   2.44748
  181   130.8785    .203015   5.14998    .49016   6.88848   4.45207  20.32026   2.44746
  182   131.3269    .203711   5.27553    .46733   6.90936   4.44569  20.32027   2.44743
  183   131.7636    .204388   5.40878    .44487   6.93104   4.43876  20.32028   2.44740
  184   132.1699    .205019   5.54531    .42273   6.95348   4.43132  20.32029   2.44738
  185   132.5852    .205663   5.68111    .40089   6.97661   4.42342  20.32030   2.44735
