  version number of analysis code =  14
 timestep dt in seconds =   .1000000E-15
 # emin for stop =   6
 decrit =   .1500000E+00

 mass metal atom in a.m.u. =   196.9660

  EOR found on XDATCAR at ntimes = 1206
  ntimesa = 1206
  detb = 30.6261662733299254
 Z layer 1 =  20.2474

 Z layer 2 =  17.8206

 Z layer 3 =  15.3822

 Z layer 4 =  13.0000

 Z12 =   2.4269

 Z23 =   2.4383

 Z34 =   2.3822

 temp, average ekin =   254.551263      .394854
 
 nt   temp      ekin       ekinh      zH         xH         yH        z1        z12
  259   154.1908    .239177   5.50336  -2.20346   6.42475   1.46239  20.23118   2.43143
  260   154.2220    .239225   5.51118  -2.23468   6.41593   1.46358  20.23120   2.43147
  261   154.2827    .239319   5.52541  -2.26580   6.40668   1.46502  20.23121   2.43151
  262   154.2636    .239290   5.54562  -2.29683   6.39699   1.46672  20.23123   2.43155
  263   154.1968    .239186   5.57110  -2.32778   6.38688   1.46866  20.23125   2.43159
  264   154.1881    .239173   5.60124  -2.35867   6.37636   1.47085  20.23127   2.43163
  265   154.1960    .239185   5.63522  -2.38950   6.36546   1.47326  20.23129   2.43167
  266   154.1387    .239096   5.67207  -2.42030   6.35420   1.47589  20.23131   2.43171
  267   154.1152    .239060   5.71098  -2.45107   6.34259   1.47874  20.23133   2.43175
  268   154.1145    .239059   5.75109  -2.48182   6.33066   1.48178  20.23135   2.43180
  269   154.1073    .239047   5.79155  -2.51256   6.31845   1.48501  20.23137   2.43184
  270   154.0724    .238993   5.83169  -2.54331   6.30597   1.48841  20.23139   2.43188
  271   154.0355    .238936   5.87087  -2.57407   6.29326   1.49198  20.23141   2.43192
  272   153.9938    .238871   5.90852  -2.60484   6.28034   1.49569  20.23143   2.43196
  273   153.9677    .238831   5.94418  -2.63563   6.26724   1.49955  20.23145   2.43201
  274   153.9530    .238808   5.97759  -2.66645   6.25399   1.50353  20.23147   2.43205
  275   153.9570    .238814   6.00850  -2.69730   6.24061   1.50762  20.23149   2.43209
  276   153.9437    .238794   6.03678  -2.72819   6.22713   1.51183  20.23151   2.43213
  277   153.9112    .238743   6.06241  -2.75910   6.21357   1.51614  20.23153   2.43217
  278   153.9170    .238752   6.08534  -2.79006   6.19995   1.52053  20.23155   2.43222
